Card,Set ID,Set Name,Quantity,Foil
"Death-Hood Cobra","MM3","Modern Masters 2017","1",""
"Abrade","HOU","Hour of Devastation","1",""
"Dire Fleet Hoarder","XLN","Ixalan","1",""
"Bloodbriar","EMN","Eldritch Moon","1",""
"Skinwing","2XM","Double Masters","1",""
"Argivian Restoration","2XM","Double Masters","1",""
"Strength of Arms","2XM","Double Masters","1",""
"Balduvian Rage","PSAL","Salvat 2005","1",""
"Treasure Keeper","A25","Masters 25","1",""
"Hinder","2XM","Double Masters","1",""
"Glassdust Hulk","MM2","Modern Masters 2015","1",""
"Sunken Ruins","SHM","Shadowmoor","1",""
"Archangel of Thune","IMA","Iconic Masters","1",""
"Surge Node","2XM","Double Masters","1",""
"Remember the Fallen","2XM","Double Masters","1",""
