Card,Set ID,Set Name,Quantity,Foil
"Might of the Masses","ROE","Rise of the Eldrazi","1",""
"Orcish Vandal","DOM","Dominaria","1",""
"Brainstorm","C15","Commander 2015","1",""
"Cathodion","CM2","Commander Anthology Volume II","1",""
"Urza's Power Plant","9ED","Ninth Edition","1",""
"Steel Sabotage","MBS","Mirrodin Besieged","1",""
"Izzet Charm","MM3","Modern Masters 2017","1",""
"Ancestral Blade","2XM","Double Masters","1",""
"Topple the Statue","WAR","War of the Spark","1",""
"Jhoira's Familiar","DOM","Dominaria","1",""
"Fire-Lit Thicket","SHM","Shadowmoor","1",""
"Heartbeat of Spring","CHK","Champions of Kamigawa","1",""
"Drown in Sorrow","2XM","Double Masters","1",""
"Driver of the Dead","2XM","Double Masters","2",""
