Card,Set ID,Set Name,Quantity,Foil
"Supernatural Stamina","A25","Masters 25","1",""
"Cathartic Reunion","2XM","Double Masters","1",""
"Cast Down","2XM","Double Masters","1",""
"Fierce Empath","2XM","Double Masters","1",""
"Urza's Mine","2XM","Double Masters","1",""
"Eager Construct","GNT","Game Night","1",""
"Sift","2XM","Double Masters","1",""
"Remember the Fallen","2XM","Double Masters","1",""
"Vampire Hexmage","2XM","Double Masters","1",""
"Thopter Foundry","C16","Commander 2016","1",""
"Serra Sphinx","2XM","Double Masters","1",""
"Magus of the Abyss","2XM","Double Masters","1",""
"Karn Liberated","2XM","Double Masters","1",""
"Ancestral Blade","2XM","Double Masters","1",""
"Iron Bully","WAR","War of the Spark","1",""
