Card,Set ID,Set Name,Quantity,Foil
"Fierce Empath","2XM","Double Masters","1",""
"Battle-Rattle Shaman","M21","Core Set 2021","1",""
"Executioner's Capsule","C16","Commander 2016","1",""
"Sylvan Might","EMA","Eternal Masters","1",""
"Iron League Steed","2XM","Double Masters","1",""
"Expedition Map","ZEN","Zendikar","1",""
"Frogify","2XM","Double Masters","1",""
"Sanctum Spirit","2XM","Double Masters","1",""
"Riddlesmith","2XM","Double Masters","1",""
"Sandstone Oracle","IMA","Iconic Masters","1",""
"Basalt Monolith","CMA","Commander Anthology","1",""
"Blood Moon","A25","Masters 25","1",""
"Baleful Strix","PCA","Planechase Anthology","1",""
"Glint-Sleeve Artisan","2XM","Double Masters","1",""
"Costly Plunder","2XM","Double Masters","1",""
