Card,Set ID,Set Name,Quantity,Foil
"Temur Battle Rage","2XM","Double Masters","1",""
"Cast Down","DOM","Dominaria","1",""
"Darksteel Axe","2XM","Double Masters","1",""
"Elvish Aberration","A25","Masters 25","1",""
"Sickleslicer","2XM","Double Masters","1",""
"Balduvian Rage","2XM","Double Masters","1",""
"Sift","2XM","Double Masters","1",""
"Ancestral Blade","2XM","Double Masters","1",""
"Throne of Geth","2XM","Double Masters","1",""
"Disciple of the Vault","2XM","Double Masters","1",""
"Path to Exile","E02","Explorers of Ixalan","1",""
"Rage Reflection","2XM","Double Masters","1",""
"Brudiclad, Telchor Engineer","2XM","Double Masters","1",""
"Silumgar Scavenger","2XM","Double Masters","1",""
"Trash for Treasure","C16","Commander 2016","1",""
