Card,Set ID,Set Name,Quantity,Foil
"Revoke Existence","THB","Theros Beyond Death","1",""
"Weapon Surge","DGM","Dragon's Maze","1",""
"Heartless Pillage","2XM","Double Masters","1",""
"Clear Shot","EMN","Eldritch Moon","1",""
"Golem-Skin Gauntlets","2XM","Double Masters","1",""
"Corridor Monitor","2XM","Double Masters","1",""
"Ichor Wellspring","C16","Commander 2016","1",""
"Pyrite Spellbomb","2XM","Double Masters","1",""
"Coretapper","DST","Darksteel","1",""
"Treasure Mage","MBS","Mirrodin Besieged","1",""
"Kuldotha Flamefiend","MBS","Mirrodin Besieged","1",""
"Imperial Recruiter","2XM","Double Masters","1",""
"Maelstrom Pulse","2XM","Double Masters","1",""
"Steel Sabotage","MBS","Mirrodin Besieged","1",""
"Fierce Empath","2XM","Double Masters","1",""
