Card,Set ID,Set Name,Quantity,Foil
"Skinbrand Goblin","2XM","Double Masters","1",""
"Crushing Vines","DKA","Dark Ascension","1",""
"Divest","2XM","Double Masters","1",""
"Chromatic Star","10E","Tenth Edition","1",""
"Urza's Tower","2XM","Double Masters","1",""
"Cloudreader Sphinx","2XM","Double Masters","1",""
"Sickleslicer","2XM","Double Masters","1",""
"Fortify","JMP","Jumpstart","1",""
"Pongify","PLC","Planar Chaos","1",""
"Morkrut Banshee","CNS","Conspiracy","1",""
"Clone Shell","2XM","Double Masters","1",""
"Darksteel Forge","DST","Darksteel","1",""
"Glimmervoid","2XM","Double Masters","1",""
"Cloudreader Sphinx","JMP","Jumpstart","1",""
"Austere Command","2XM","Double Masters","1",""
