Card,Set ID,Set Name,Quantity,Foil
"Salivating Gremlins","2XM","Double Masters","1",""
"Kazuul's Toll Collector","2XM","Double Masters","1",""
"Bone Picker","JMP","Jumpstart","1",""
"Whisperer of the Wilds","2XM","Double Masters","1",""
"Sift","2XM","Double Masters","1",""
"Myr Retriever","CM2","Commander Anthology Volume II","1",""
"Urza's Mine","2XM","Double Masters","1",""
"Strength of Arms","2XM","Double Masters","1",""
"Painsmith","2XM","Double Masters","1",""
"Galvanic Blast","2XM","Double Masters","1",""
"Ghor-Clan Rampager","GK2","RNA Guild Kit","1",""
"Time Sieve","2XM","Double Masters","1",""
"Noble Hierarch","CON","Conflux","1",""
"Brainstorm","DDJ","Duel Decks: Izzet vs. Golgari","1",""
"Pyrite Spellbomb","2XM","Double Masters","1",""
