Card,Set ID,Set Name,Quantity,Foil
"Kazuul's Toll Collector","OGW","Oath of the Gatewatch","1",""
"Bone Picker","2XM","Double Masters","1",""
"Salivating Gremlins","2XM","Double Masters","1",""
"Whisperer of the Wilds","2XM","Double Masters","1",""
"Accomplished Automaton","2XM","Double Masters","1",""
"Parasitic Strix","2XM","Double Masters","1",""
"Fortify","JMP","Jumpstart","1",""
"Springleaf Drum","BNG","Born of the Gods","1",""
"Myrsmith","MM2","Modern Masters 2015","1",""
"Esperzoa","CON","Conflux","1",""
"Well of Ideas","C14","Commander 2014","1",""
"Duplicant","EMA","Eternal Masters","1",""
"Sanctum Gargoyle","C16","Commander 2016","1",""
"Expedition Map","ZEN","Zendikar","1",""
