Card,Set ID,Set Name,Quantity,Foil
"Defiant Salvager","2XM","Double Masters","1",""
"Rapacious Dragon","2XM","Double Masters","1",""
"Sylvan Might","2XM","Double Masters","1",""
"Apprentice Wizard","2XM","Double Masters","1",""
"Chatter of the Squirrel","2XM","Double Masters","1",""
"Sickleslicer","2XM","Double Masters","1",""
"Balduvian Rage","2XM","Double Masters","1",""
"Remember the Fallen","2XM","Double Masters","1",""
"Manamorphose","2XM","Double Masters","1",""
"Thopter Engineer","C18","Commander 2018","1",""
"Trash for Treasure","C16","Commander 2016","1",""
"Sword of the Meek","2XM","Double Masters","1",""
"Geist of Saint Traft","PWCQ","World Magic Cup Qualifiers","1","Foil"
"Crusader of Odric","2XM","Double Masters","1",""
"Everflowing Chalice","CM2","Commander Anthology Volume II","1",""
