Card,Set ID,Set Name,Quantity,Foil
"Ancient Stirrings","2XM","Double Masters","1",""
"Defiant Salvager","AER","Aether Revolt","1",""
"Rapacious Dragon","2XM","Double Masters","1",""
"Sylvan Might","EMA","Eternal Masters","1",""
"Gleaming Barrier","2XM","Double Masters","1",""
"Faerie Mechanist","2XM","Double Masters","1",""
"Costly Plunder","2XM","Double Masters","1",""
"Throne of Geth","2XM","Double Masters","1",""
"Pongify","2XM","Double Masters","1",""
"Glassdust Hulk","ARB","Alara Reborn","1",""
"Ad Nauseam","2XM","Double Masters","1",""
"Blade Splicer","NPH","New Phyrexia","1",""
"Kozilek's Predator","ROE","Rise of the Eldrazi","1",""
"Mishra's Factory","2XM","Double Masters","1",""
"Glint-Sleeve Artisan","2XM","Double Masters","1",""
