Card,Set ID,Set Name,Quantity,Foil
"Cathartic Reunion","2XM","Double Masters","1",""
"Conclave Naturalists","2XM","Double Masters","1",""
"Supernatural Stamina","2XM","Double Masters","1",""
"Chromatic Star","2XM","Double Masters","1",""
"Magnifying Glass","2XM","Double Masters","1",""
"Argivian Restoration","2XM","Double Masters","1",""
"Skinwing","2XM","Double Masters","1",""
"Glint-Sleeve Artisan","2XM","Double Masters","1",""
"Ulvenwald Mysteries","2XM","Double Masters","1",""
"Woodland Champion","M20","Core Set 2020","1",""
"Unlicensed Disintegration","KLD","Kaladesh","1",""
"Ethersworn Canonist","2XM","Double Masters","1",""
"Austere Command","IMA","Iconic Masters","1",""
"Goblin Gaveleer","2XM","Double Masters","1",""
"Cast Down","PDOM","Dominaria Promos","1","Foil"
