Card,Set ID,Set Name,Quantity,Foil
"Battle-Rattle Shaman","2XM","Double Masters","1",""
"Revoke Existence","THB","Theros Beyond Death","1",""
"Conclave Naturalists","ORI","Magic Origins","1",""
"Urza's Power Plant","2XM","Double Masters","1",""
"Peace Strider","CNS","Conspiracy","1",""
"Frogify","2XM","Double Masters","1",""
"Everflowing Chalice","CM2","Commander Anthology Volume II","1",""
"Glint-Sleeve Artisan","2XM","Double Masters","1",""
"Sphinx Summoner","C16","Commander 2016","1",""
"Thirst for Knowledge","C18","Commander 2018","1",""
"Oubliette","2XM","Double Masters","1",""
"Fulminator Mage","2XM","Double Masters","1",""
"Godo, Bandit Warlord","2XM","Double Masters","1",""
"Rapacious Dragon","JMP","Jumpstart","1",""
"Welding Jar","2XM","Double Masters","1",""
