Card,Set ID,Set Name,Quantity,Foil
"Cathartic Reunion","SS3","Signature Spellbook: Chandra","1",""
"Conclave Naturalists","2XM","Double Masters","1",""
"Supernatural Stamina","2XM","Double Masters","1",""
"Iron Bully","2XM","Double Masters","1",""
"Everflowing Chalice","CM2","Commander Anthology Volume II","1",""
"Apprentice Wizard","2XM","Double Masters","1",""
"Chatter of the Squirrel","2XM","Double Masters","1",""
"Thraben Inspector","2XM","Double Masters","1",""
"Culling Dais","BBD","Battlebond","1",""
"Yavimaya's Embrace","2XM","Double Masters","1",""
"Skullmulcher","2XM","Double Masters","1",""
"Thought Reflection","C15","Commander 2015","1",""
"Bloodspore Thrinax","CMA","Commander Anthology","1",""
"Metallic Rebuke","2XM","Double Masters","1",""
"Ichor Wellspring","CM2","Commander Anthology Volume II","1",""
