Card,Set ID,Set Name,Quantity,Foil
"Goblin Gaveleer","2XM","Double Masters","1",""
"Sanctum Gargoyle","C16","Commander 2016","1",""
"Ancient Stirrings","ROE","Rise of the Eldrazi","1",""
"Expedition Map","2XM","Double Masters","1",""
"Frogify","2XM","Double Masters","1",""
"Iron Bully","WAR","War of the Spark","1",""
"Everflowing Chalice","CM2","Commander Anthology Volume II","1",""
"Sanctum Spirit","2XM","Double Masters","1",""
"Darksteel Citadel","C16","Commander 2016","1",""
"Cranial Plating","C16","Commander 2016","1",""
"Enlarge","JMP","Jumpstart","1",""
"Wooded Bastion","2XM","Double Masters","1",""
"Ion Storm","5DN","Fifth Dawn","1",""
"Kazuul's Toll Collector","2XM","Double Masters","1",""
"Cranial Plating","2XM","Double Masters","1",""
