Card,Set ID,Set Name,Quantity,Foil
"Revoke Existence","THB","Theros Beyond Death","1",""
"Weapon Surge","2XM","Double Masters","1",""
"Heartless Pillage","2XM","Double Masters","1",""
"Metallic Rebuke","2XM","Double Masters","1",""
"Metalspinner's Puzzleknot","2XM","Double Masters","1",""
"Peace Strider","2XM","Double Masters","1",""
"Vedalken Infuser","2XM","Double Masters","1",""
"Crib Swap","CM2","Commander Anthology Volume II","1",""
"Sentinel of the Pearl Trident","2XM","Double Masters","1",""
"Veteran Explorer","2XM","Double Masters","1",""
"Lightning Greaves","C16","Commander 2016","1",""
"Mox Opal","2XM","Double Masters","1",""
"Kemba, Kha Regent","C17","Commander 2017","1",""
"Deathreap Ritual","C18","Commander 2018","1",""
"Vulshok Gauntlets","2XM","Double Masters","1",""
