Card,Set ID,Set Name,Quantity,Foil
"Clear Shot","EMN","Eldritch Moon","1",""
"Weapon Surge","DGM","Dragon's Maze","1",""
"Heartless Pillage","2XM","Double Masters","1",""
"Brainstorm","CNS","Conspiracy","1",""
"Pyrite Spellbomb","2XM","Double Masters","1",""
"Cathodion","CM2","Commander Anthology Volume II","1",""
"Crib Swap","2XM","Double Masters","1",""
"Mishra's Bauble","CSP","Coldsnap","1",""
"Chief of the Foundry","PKLD","Kaladesh Promos","1","Foil"
"Puresteel Paladin","2XM","Double Masters","1",""
"Falkenrath Aristocrat","MM3","Modern Masters 2017","1",""
"Darksteel Axe","IMA","Iconic Masters","2",""
"Magus of the Abyss","2XM","Double Masters","1",""
