Card,Set ID,Set Name,Quantity,Foil
"Kazuul's Toll Collector","2XM","Double Masters","1",""
"Sanctum Gargoyle","C16","Commander 2016","1",""
"Whisperer of the Wilds","FRF","Fate Reforged","1",""
"Iron League Steed","2XM","Double Masters","1",""
"Corridor Monitor","2XM","Double Masters","1",""
"Accomplished Automaton","KLD","Kaladesh","1",""
"Iron Bully","WAR","War of the Spark","1",""
"Thraben Inspector","SOI","Shadows over Innistrad","1",""
"Treasure Keeper","A25","Masters 25","2",""
"Dread Return","2XM","Double Masters","1",""
"Deathreap Ritual","C18","Commander 2018","1",""
"Mana Echoes","2XM","Double Masters","1",""
"The Scarab God","HOU","Hour of Devastation","1",""
"Temur Battle Rage","2XM","Double Masters","1",""
"Esperzoa","2XM","Double Masters","1",""
