Card,Set ID,Set Name,Quantity,Foil
"Clear Shot","2XM","Double Masters","1",""
"Might of the Masses","2XM","Double Masters","1",""
"Driver of the Dead","AVR","Avacyn Restored","1",""
"Orcish Vandal","DOM","Dominaria","1",""
"Eager Construct","GNT","Game Night","1",""
"Gleaming Barrier","2XM","Double Masters","1",""
"Parasitic Strix","2XM","Double Masters","1",""
"Angel of the Dawn","2XM","Double Masters","1",""
"Master Splicer","MM3","Modern Masters 2017","1",""
"O-Naginata","SOK","Saviors of Kamigawa","1",""
"Dismantle","2XM","Double Masters","1",""
"Death's Shadow","WWK","Worldwake","1",""
"Kuldotha Forgemaster","2XM","Double Masters","1",""
"Balduvian Rage","2XM","Double Masters","1",""
"Weapons Trainer","2XM","Double Masters","1",""
