Card,Set ID,Set Name,Quantity,Foil
"Fierce Empath","2XM","Double Masters","1",""
"Battle-Rattle Shaman","BBD","Battlebond","1",""
"Executioner's Capsule","C16","Commander 2016","1",""
"Sylvan Might","EMA","Eternal Masters","1",""
"Urza's Tower","9ED","Ninth Edition","1",""
"Ichor Wellspring","CM2","Commander Anthology Volume II","1",""
"Cloudreader Sphinx","JMP","Jumpstart","1",""
"Crusader of Odric","2XM","Double Masters","1",""
"Weapons Trainer","2XM","Double Masters","1",""
"Crop Rotation","C20","Commander 2020","1",""
"Valorous Stance","2XM","Double Masters","1",""
"Fetid Heath","2XM","Double Masters","1",""
"Bosh, Iron Golem","2XM","Double Masters","1",""
"Whisperer of the Wilds","2XM","Double Masters","1",""
"Skinwing","2XM","Double Masters","1",""
